"HR"	"p"	"upper"	"lower"	"variable"	"cut"	"source"
1.06146825958506	0.879339061293251	2.28163163807782	0.49381979426607	"TMB"	"median"	"Snyder"
0.88453613797774	0.879339061293251	1.84888389199412	0.423176481106508	"CDNs"	"median"	"Snyder"
0.408111955802309	0.195872843732118	0.930130017564037	0.179066759833196	"ADNs"	"median"	"Snyder"
0.88453613797774	0.879339061293251	1.84888389199412	0.423176481106508	"IEDB high"	"median"	"Snyder"
0.880395142410421	0.879339061293251	1.84205395896795	0.420777905558277	"high dissimilarity"	"median"	"Snyder"
0.842403036116696	0.879339061293251	1.7694447258106	0.401053994457799	"all MHC binders"	"median"	"Snyder"
0.941610997808657	0.879339061293251	2.05178140456175	0.432127549856411	"all dissimilar neopeptides"	"median"	"Snyder"
5.890398045398	0.00141119148599165	16.5128982217841	2.10119318045914	"TMB"	"median"	"Rizvi"
2.40830279461443	0.0633240543213857	5.81713917064152	0.997040328658332	"CDNs"	"median"	"Rizvi"
2.69729023776904	0.0497616330405552	6.51101726038087	1.11739446169716	"ADNs"	"median"	"Rizvi"
2.60447485118716	0.0497616330405552	6.26762316629819	1.08227458328079	"IEDB high"	"median"	"Rizvi"
2.29163824151877	0.0737458984999422	5.68564143081977	0.923661102074469	"high dissimilarity"	"median"	"Rizvi"
1.87330315935775	0.147310961883274	4.4214363388535	0.793693374259848	"all MHC binders"	"median"	"Rizvi"
3.40075605345841	0.0208089607483763	8.46659630503645	1.36597297408102	"all dissimilar neopeptides"	"median"	"Rizvi"
1.38175660582317	0.987485145117079	2.12853821385726	0.896977702963615	"TMB"	"median"	"Van Allen"
1.06624441928055	0.987485145117079	1.64178835877362	0.692462676794795	"CDNs"	"median"	"Van Allen"
1.04868173040377	0.987485145117079	1.61396416018355	0.681386488506391	"ADNs"	"median"	"Van Allen"
1.22353057358353	0.987485145117079	1.88374031209319	0.7947098943963	"IEDB high"	"median"	"Van Allen"
1.03881250335563	0.987485145117079	1.59876866846259	0.674976585678085	"high dissimilarity"	"median"	"Van Allen"
0.99655364589135	0.987485145117079	1.53407932005414	0.647371459973982	"all MHC binders"	"median"	"Van Allen"
1.11152337573421	0.987485145117079	1.71059259142965	0.722255095101872	"all dissimilar neopeptides"	"median"	"Van Allen"
2.82592356272471	0.0174734633205135	6.18268358266677	1.29164688368512	"TMB"	"median"	"Hellmann"
1.99749554558102	0.0964582184533036	4.23039101649047	0.94317249612687	"CDNs"	"median"	"Hellmann"
1.91883424337659	0.102909626493053	4.08026809161474	0.902373268345101	"ADNs"	"median"	"Hellmann"
2.16087098475508	0.0766117986501475	4.62334940906084	1.00995252567443	"IEDB high"	"median"	"Hellmann"
3.36851410658911	0.0137639899253417	8.33989980496228	1.36055438933911	"high dissimilarity"	"median"	"Hellmann"
1.4413549072494	0.335631331645556	3.03712682821342	0.684035961011875	"all MHC binders"	"median"	"Hellmann"
3.29267280717102	0.0137639899253417	7.2210545586851	1.50140040169668	"all dissimilar neopeptides"	"median"	"Hellmann"
1.01159480777245	0.972061693685939	1.9284266318845	0.530652314271438	"TMB"	"median"	"Riaz"
0.927957669181443	0.972061693685939	1.7688370851566	0.486820093845115	"CDNs"	"median"	"Riaz"
1.07285572724381	0.972061693685939	2.05028985017651	0.561393508035344	"ADNs"	"median"	"Riaz"
0.983327770120981	0.972061693685939	1.87623151184696	0.515359377233383	"IEDB high"	"median"	"Riaz"
0.794598175473725	0.972061693685939	1.51476292232564	0.41682183473094	"high dissimilarity"	"median"	"Riaz"
0.98273465952374	0.972061693685939	1.87521862828408	0.515015900792841	"all MHC binders"	"median"	"Riaz"
1.01159480777245	0.972061693685939	1.9284266318845	0.530652314271438	"all dissimilar neopeptides"	"median"	"Riaz"
3.60802275547185	9.94171283435178e-05	6.61460495980476	1.9680431836986	"TMB"	"median"	"Combined
NSCLC"
2.1190689535064	0.01011910218436	3.74124622320592	1.20025600075763	"CDNs"	"median"	"Combined
NSCLC"
2.19444732461984	0.00866406762242112	3.88187313267643	1.24053489022991	"ADNs"	"median"	"Combined
NSCLC"
2.27945374157162	0.00715292783055241	4.04402107022385	1.28483736106678	"IEDB high"	"median"	"Combined
NSCLC"
2.73389595897993	0.00215191263731814	5.15354136189507	1.45030117926101	"high dissimilarity"	"median"	"Combined
NSCLC"
1.58164954858949	0.10677694687489	2.76845014289803	0.903615801415386	"all MHC binders"	"median"	"Combined
NSCLC"
3.23762754017849	0.000195999115023379	5.85198678018043	1.79122620789636	"all dissimilar neopeptides"	"median"	"Combined
NSCLC"
