sample_id	all dissimilar neopeptides
Patient_1	830
Patient_10	3440
Patient_11	376
Patient_12	2278
Patient_13	466
Patient_14	1862
Patient_15	2942
Patient_16	158
Patient_17	60
Patient_18	9564
Patient_19	6862
Patient_2	2302
Patient_20	1648
Patient_21	3814
Patient_22	1338
Patient_23	3088
Patient_24	518
Patient_25	5282
Patient_26	13592
Patient_27	2748
Patient_28	2176
Patient_29	4796
Patient_3	48
Patient_30	1746
Patient_31	1942
Patient_32	3602
Patient_33	3884
Patient_34	518
Patient_35	1228
Patient_36	1894
Patient_37	3422
Patient_38	1478
Patient_39	138
Patient_4	1622
Patient_40	3030
Patient_41	9324
Patient_42	484
Patient_43	4260
Patient_5	1600
Patient_6	478
Patient_7	2756
Patient_8	4174
Patient_9	1138
Pt10	885
Pt100	45
Pt101	43
Pt102	3363
Pt103	126
Pt104	14
Pt106	5927
Pt108	77
Pt11	830
Pt13	1338
Pt17	93
Pt18	1737
Pt23	4747
Pt24	4
Pt25	828
Pt26	653
Pt27	1626
Pt28	424
Pt29	4405
Pt3	1441
Pt30	479
Pt31	4296
Pt32	819
Pt34	1963
Pt36	56
Pt37	265
Pt38	3024
Pt4	2201
Pt44	2628
Pt46	1381
Pt47	7470
Pt48	675
Pt49	6493
Pt5	501
Pt51	1671
Pt52	2236
Pt53	569
Pt54	59841
Pt58	7270
Pt59	3212
Pt60	6469
Pt65	22057
Pt66	1232
Pt67	84
Pt68	8595
Pt7	12587
Pt70	3989
Pt71	35
Pt72	3313
Pt73	110
Pt74	384
Pt76	1643
Pt77	466
Pt79	4896
Pt8	940
Pt82	226
Pt83	2462
Pt84	45
Pt85	1156
Pt86	4712
Pt87	5347
Pt89	1722
Pt9	3297
Pt90	2373
Pt92	4562
Pt93	78
Pt94	3583
Pt98	260
1120	3414
12117	8500
1494	6395
1509	4077
1650	556
167	3896
1867	620
2051	324
2056	1119
2057	2111
2137	5641
22640	5203
244	4504
2472	5583
3086	1167
3156	78
346	4561
3484	4568
3549	3314
3665	1027
3803	5872
4018	1335
4035	4269
4045	3234
4046	1836
4077	13834
4083	3556
4091	2418
4092	26120
4631	8977
4691	3370
4744	9268
4810	2978
4880	10758
4885	17614
4941	997
4949	4196
5038	2186
5118	459
5784	195
5934	1313
6126	4046
6161	5956
6336	2421
6494	3999
6670	4944
6689	694
6721	1408
6819	1947
6842	542
7357	8639
7623	2969
8727	32
8815	13064
9298	9781
9306	10994
9341	2637
9445	2491
9449	2202
95	2207
9521	7514
9699	9750
9705	750
9765	983
AL4602	1810
AU5884	223
BL3403	1250
CA9903	2364
CU9061	2592
DI6359	1755
DM123062	740
FR9547	1956
GR0134	410
GR4788	1250
HE3202	5656
JB112852	1636
KA3947	2299
LO3793	812
LO5004	828
M4945	3182
MA7027	2008
NI9507	464
Pat02	1096
Pat03	2597
Pat04	2084
Pat06	1287
Pat07	930
Pat08	1873
Pat100	4013
Pat101	273
Pat103	3281
Pat104	240
Pat105	802
Pat106	11
Pat109	1392
Pat11	13810
Pat110	41127
Pat113	1931
Pat115	469
Pat117	4961
Pat118	784
Pat119	2055
Pat121	120
Pat123	3324
Pat124	2197
Pat126	2415
Pat127	619
Pat128	472
Pat129	403
Pat13	817
Pat130	1280
Pat131	541
Pat132	15042
Pat133	1257
Pat135	914
Pat138	35202
Pat139	8803
Pat14	385
Pat140	2030
Pat143	5495
Pat147	3753
Pat148	875
Pat15	1733
Pat151	10445
Pat157	584
Pat159	1082
Pat16	12725
Pat160	149
Pat162	238
Pat163	456
Pat165	176
Pat166	129
Pat167	178
Pat168	1136
Pat17	1446
Pat170	1467
Pat171	610
Pat174	4137
Pat175	424
Pat18	634
Pat19	3477
Pat21	9679
Pat24	112
Pat25	287
Pat27	116
Pat28	4514
Pat29	391
Pat32	4999
Pat33	79
Pat36	10
Pat37	851
Pat38	19351
Pat39	393
Pat40	168
Pat41	2495
Pat43	884
Pat44	288
Pat45	6122
Pat46	1565
Pat47	638
Pat49	3780
Pat50	3183
Pat54	6361
Pat55	2862
Pat56	417
Pat57	478
Pat58	12258
Pat59	1783
Pat60	5549
Pat62	8718
Pat63	1210
Pat64	3854
Pat66	2342
Pat67	81
Pat70	566
Pat71	4412
Pat73	1517
Pat74	3117
Pat76	1342
Pat77	2801
Pat78	91
Pat79	2301
Pat80	1483
Pat81	474
Pat82	2482
Pat83	270
Pat85	1650
Pat86	400
Pat88	7212
Pat90	1625
Pat92	315
Pat98	151
R7495	951
RH090935	1282
RI1933	3406
RO3338	805
SA9755	7164
SB010944	885
SC0899	2017
SC6470	1011
SR070761	1107
TU0428	4411
VA1330	341
VA7859	43
WA7899	1159
Y2087	3500
ZA6505	2718
ZA6965	1704
