analysis_accession	study_accession	sample_accession	secondary_sample_accession	tax_id	scientific_name	submitted_ftp	submitted_galaxy
ERZ502658	PRJEB24995	SAMEA4760642	ERS2580732	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/ERZ502658.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/34_N_vs_34_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/34_N_vs_34_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/ERZ502658.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/34_N_vs_34_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502658/34_N_vs_34_T.vcf.gz.tbi
ERZ502659	PRJEB24995	SAMEA4760661	ERS2580738	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/33_N_vs_33_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/33_N_vs_33_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/ERZ502659.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/33_N_vs_33_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/33_N_vs_33_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502659/ERZ502659.md5
ERZ502660	PRJEB24995	SAMEA4760639	ERS2580722	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/22_N_vs_22_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/22_N_vs_22_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/ERZ502660.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/22_N_vs_22_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/22_N_vs_22_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502660/ERZ502660.md5
ERZ502661	PRJEB24995	SAMEA4760654	ERS2580749	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/8_N_vs_8_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/ERZ502661.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/8_N_vs_8_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/8_N_vs_8_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/ERZ502661.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502661/8_N_vs_8_T.vcf.gz.tbi
ERZ502662	PRJEB24995	SAMEA4760634	ERS2580753	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/27_N_vs_27_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/ERZ502662.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/27_N_vs_27_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/27_N_vs_27_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/ERZ502662.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502662/27_N_vs_27_T.vcf.gz.tbi
ERZ502663	PRJEB24995	SAMEA4760659	ERS2580728	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/18_N_vs_18_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/18_N_vs_18_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/ERZ502663.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/18_N_vs_18_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/18_N_vs_18_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502663/ERZ502663.md5
ERZ502664	PRJEB24995	SAMEA4760658	ERS2580723	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/3_N_vs_3_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/ERZ502664.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/3_N_vs_3_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/3_N_vs_3_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/ERZ502664.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502664/3_N_vs_3_T.vcf.gz
ERZ502665	PRJEB24995	SAMEA4760632	ERS2580750	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/ERZ502665.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/2_N_vs_2_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/2_N_vs_2_T.vcf.gz	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/ERZ502665.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/2_N_vs_2_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502665/2_N_vs_2_T.vcf.gz
ERZ502666	PRJEB24995	SAMEA4760645	ERS2580734	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/ERZ502666.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/19_N_vs_19_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/19_N_vs_19_T.vcf.gz.tbi	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/ERZ502666.md5;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/19_N_vs_19_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502666/19_N_vs_19_T.vcf.gz.tbi
ERZ502667	PRJEB24995	SAMEA4760649	ERS2580747	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/31_N_vs_31_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/31_N_vs_31_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/ERZ502667.md5	ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/31_N_vs_31_T.vcf.gz;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/31_N_vs_31_T.vcf.gz.tbi;ftp.sra.ebi.ac.uk/vol1/ERZ502/ERZ502667/ERZ502667.md5
